Peak ID	Name	Scan	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Estimated noise	S/N	Sharpness	Gaussian similarity	Ideal slope	Symmetry	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	m/z similarity	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N	MS1 isotopes	MSMS spectrum
0	low score: Gitoxigenin Diacetate	389	0.709	1.473	2.588	473.27957	9228	158038	1.000	9227.87500	12.963	0.654	1.000	0.394		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	473.28860	C27H38O7	null	FYZCUGVROGLOCP-ICIBFRGGSA-N	O=C1OCC(=C1)C2C(OC(=O)C)CC3(OC(=O)C)C4CCC5CC(O)CCC5(C)C4CCC23C	530	False	True	False	0.00	0.66	0.000	0.000	0.000	0.00	0.00	0.332	9227.87500	473.27957:11124 474.28387:3778 475.28702:670	205.15945:1130 457.25244:756 473.27972:44066 474.28275:11414 475.28497:2136
1	Unknown	389	0.859	1.473	2.335	474.28387	2921	48077	1.000	2921.37500	7.118	0.663	1.000	0.330		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	2921.37500	474.28387:3778 475.28702:670	null
2	albocycline	403	0.840	1.527	2.486	307.19327	2151	39940	1.000	2150.75000	7.184	0.648	1.000	0.367		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	307.19147	C18H28O4	Macrolides and analogues	BYWWNDLILWPPJP-REXWONOSSA-N	O=C1OC(C)C(C)CCC=C(C)C(OC)C=CC(O)(C=C1)C	430	False	True	True	0.00	0.98	0.763	0.985	0.821	5.00	0.28	1.686	2150.75000	307.19327:3164 308.19656:624	79.95596:970 95.95037:604 96.95849:6594 307.19376:3654 308.19678:874 309.17270:1792
3	low score: (1R,2E,7R,10E,12S,13S,15R)-12,15-dihydroxy-7-methyl-8-oxabicyclo[11.3.0]hexadeca-2,10-dien-9-one	415	0.840	1.575	2.588	279.16238	2058	40080	1.000	2058.25000	7.504	0.747	1.000	0.402		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	279.16019	C16H24O4	Macrolides and analogues	KQNZDYYTLMIZCT-SWGFJCPHSA-N	O=C1OC(C)CCCC=CC2CC(O)CC2C(O)C=C1	530	False	True	False	0.00	0.98	0.449	0.838	0.600	4.00	0.21	1.367	2058.25000	279.16238:2620 281.16095:344	79.95630:1306 96.95891:7476 279.16180:3122 280.16376:762 280.96292:1858 281.24725:934
4	low score: Embelin	415	1.373	1.575	2.640	293.17752	4490	83260	1.000	4489.62500	10.910	0.778	0.999	0.595		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	293.17581	C17H26O4	null	IRSFLDGTOHBADP-UHFFFAOYSA-N		530	False	True	False	0.00	0.99	0.549	0.684	0.929	2.00	0.50	1.502	4489.62500	293.17752:5278 294.17966:1148	79.95658:874 95.95170:944 96.95886:12690 98.95496:670 293.17725:6738 294.17923:1138 295.15729:1958
5	low score: Isomucronulatol	415	0.926	1.575	2.435	301.11108	1421	26849	1.000	1420.87500	6.300	0.705	1.000	0.473		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	301.10809	C17H18O5	null	NQRBAPDEZYMKFL-NSHDSACASA-N		530	False	True	False	0.00	0.96	0.648	0.725	0.893	2.00	0.25	1.504	1420.87500	301.11108:1884 302.11313:432	79.95634:786 164.08434:778 220.14467:880 221.15535:884 299.05997:648 301.10944:3152 302.11288:744
6	no MS2: C12-AE1S (TENTATIVE)	415	1.297	1.575	2.486	309.17282	1916	36981	1.000	1915.75000	7.641	0.711	1.000	0.402		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	309.17413	C14H30O5S	Sulfuric acid monoesters	QTDIEDOANJISNP-UHFFFAOYSA-N	CCCCCCCCCCCCOCCOS(O)(=O)=O	530	False	True	False	0.00	0.99	0.000	0.000	0.000	-1.00	-1.00	0.329	1915.75000	309.17282:3044 310.17493:410 311.16794:9282	null
7	no MS2: Hymeglusin	415	0.992	1.575	2.284	323.18817	1005	17080	1.000	1005.25000	5.257	0.793	1.000	0.595		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	323.18640	C18H28O5	null	ODCZJZWSXPVLAW-KXCGKLMDSA-N		530	False	True	False	0.00	0.98	0.000	0.000	0.000	-1.00	-1.00	0.326	1005.25000	323.18817:1246 325.18268:16118	null
8	no MS2: (2E,4E)-12-Hydroxy-13-(hydroxymethyl)-14-methoxy-3,5,7-trimethyl-14-oxotetradeca-2,4-dienoic acid	415	0.964	1.575	2.387	337.20490	1176	20307	1.000	1176.12500	5.947	0.784	1.000	0.494		[M-H-H2O]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	337.20200	C19H32O6	null	WKPLWDFQTVJLIX-WFYKWJGLSA-N		530	False	True	False	0.00	0.96	0.000	0.000	0.000	-1.00	-1.00	0.313	1176.12500	337.20490:1530 338.20734:432 339.19888:11210	null
9	low score: (E)-3-(4-Acetyloxy-2,3-dihydroxy-2,5,5,8a-tetramethyl-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl)prop-2-enoic acid	415	0.825	1.575	2.640	353.20035	1260	27735	1.000	1260.37500	6.370	0.721	0.998	0.311		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	353.19699	C19H30O6	null	OZESVNMBZAEFCX-BQYQJAHWSA-N		530	False	True	False	0.00	0.95	0.355	0.497	0.862	1.00	0.14	1.210	1260.37500	353.20035:1714 354.20233:422	79.95606:1640 96.95864:5900 135.04321:640 276.15894:1006 351.22058:2538 352.22101:766 353.19934:3026 354.10129:1336 354.20312:794 356.11603:1054
10	low score: N-Cyclohexyl-N'-(3,5-dimethyl-1H-pyrazol-4-yl)thiourea	427	0.825	1.623	2.691	251.13179	1673	33411	1.000	1673.12500	7.008	0.763	1.000	0.490		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	251.13361	C12H20N4S	null	ZFDRVICUSQZDJK-UHFFFAOYSA-N		530	False	True	False	0.00	0.98	0.299	0.352	0.864	1.00	0.33	1.161	1673.12500	251.13179:2290	79.95638:928 96.95890:5218 248.97174:9300 251.13025:1884
11	low score: Laurylsulfuric acid	427	1.297	1.623	2.691	265.14615	18254	387233	181.998	100.29790	22.091	0.805	1.000	0.619		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	265.14789	C12H26O4S	null	MOTZDAYCYVMXPC-UHFFFAOYSA-N		530	False	True	False	0.00	0.99	0.943	0.875	0.938	2.00	1.00	1.881	100.29790	265.14615:22844 266.15060:3384 267.14401:1278	79.95621:4280 95.95155:1170 96.95875:41688 98.95433:1372 265.14633:15022 266.14996:2576 267.14429:698
12	Unknown	427	0.742	1.623	2.233	266.15060	2622	53250	1.000	2622.12500	8.358	0.802	1.000	0.619		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	2622.12500	266.15060:3384 267.14401:1278	null
13	Arachidonic sulfonic acid	427	1.157	1.623	2.842	339.19943	8874	188311	1.000	8873.62500	14.941	0.782	1.000	0.619		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	339.19989	C19H32O3S	null	WOQHFSNWXZHNKW-DOFZRALJSA-N		430	False	True	True	0.00	1.00	0.601	0.758	0.926	3.00	0.25	1.530	8873.62500	339.19943:11336 340.20096:2318 341.19257:858	79.95599:2264 96.95908:5952 119.04877:1148 183.01328:18302 184.01735:2734 185.00980:938 197.02753:768 261.14859:610 337.20435:2268 338.21039:598 339.19876:26964 340.20126:5906 341.10632:2066 341.19797:1228
14	Unknown	427	0.926	1.623	2.486	340.20096	1994	36410	1.000	1993.75000	7.714	0.893	1.000	0.749		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	1993.75000	340.20096:2318 341.19257:858	null
15	Unknown	427	1.113	1.623	2.182	381.11707	1205	16569	1.000	1204.87500	8.125	0.882	1.000	0.709		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	1204.87500	381.11707:1866 382.11401:732	79.95605:17172 80.96395:10604 81.95174:848 82.95945:688 93.03349:892 96.95878:106868 97.95982:660 98.95457:3208 108.01927:2186 109.02793:8218 110.03149:2656 110.97543:1522 121.02879:1356 122.03490:1086 135.04393:1890 136.04674:652 143.04866:852 145.02846:812 146.03629:3716 147.04100:2040 148.05202:800 159.04567:4666 160.04922:2606 161.06213:1826 162.06444:684 171.04669:586 172.05276:3528 173.05696:3064 176.10989:722 178.12433:4094 185.06184:5652 186.06659:6848 187.07225:1992 213.05478:1444 214.05788:1480 257.13669:1378 271.11981:918 271.16824:1586 272.12576:658 272.17181:668 297.13223:612 298.14316:26402 299.14639:54432 300.12518:1960 300.14890:7268 301.12549:952 301.15128:674 378.09979:2596 379.10312:25790 380.10074:9680 381.10312:2430 381.13632:33798 382.09189:734 382.13998:7074 383.15143:20012 384.15381:3512 385.16211:1020
16	low score: Triptophenolide	440	1.354	1.672	2.892	311.16806	12920	295919	138.063	93.58337	18.242	0.744	1.000	0.533		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	311.16525	C20H24O3	Oxosteroids	KPXIBWGPZSPABK-FXAWDEMLSA-N	O=C1OCC2=C1CCC3(C4=CC=C(C(O)=C4CCC23)C(C)C)C	530	False	True	False	0.00	0.96	0.630	0.683	0.938	2.00	1.00	1.617	93.58337	311.16806:16646 312.17075:3490 313.16565:856	79.95580:1516 95.95112:658 96.95843:4852 119.04916:1350 170.00557:642 183.01323:18266 184.01811:2362 185.01045:758 197.02797:628 309.17325:3666 310.17606:594 311.16788:19542 312.17148:4526 313.16449:1168
17	Unknown	440	0.810	1.672	2.794	312.17075	2556	56397	1.000	2556.25000	8.140	0.738	1.000	0.533		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	2556.25000	312.17075:3490 313.16565:856	null
18	Dodecylbenzenesulfonic acid	440	1.373	1.672	2.996	325.18375	15179	339406	1.000	15179.00000	19.917	0.867	1.000	0.645		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	325.18430	C18H30O3S	null	KWXICGTUELOLSQ-UHFFFAOYSA-N		430	False	True	True	0.00	1.00	0.874	0.890	0.936	6.00	0.75	1.818	15179.00000	325.18375:17642 326.18686:4800 327.18082:1244	79.01746:752 79.95584:1574 96.95873:4952 119.04861:2698 155.99013:620 170.00571:1456 183.01286:41000 184.01823:5302 185.01079:2192 197.02785:2126 214.96463:1250 239.07336:768 265.14603:1194 323.18921:1948 325.18344:42564 326.18619:9592 327.18152:2062
