Peak ID	Name	Scan	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Estimated noise	S/N	Sharpness	Gaussian similarity	Ideal slope	Symmetry	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	m/z similarity	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N	MS1 isotopes	MSMS spectrum
12	Unknown	478	1.175	1.871	2.336	340.20184	1815	45298	1.000	1814.50000	4.723	0.773	1.000	0.602		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	1814.50000	340.20184:2090 341.20483:518	183.01317:6764 184.01816:904 283.26053:2056 339.19812:10792 339.32730:682 340.20166:2646
13	Unknown	490	1.669	1.920	2.415	242.17384	1393	31767	75.026	17.50721	5.226	0.744	0.992	0.504		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	17.50721	242.17384:1698	68.99446:13398 74.98907:652 111.99982:1534 112.98389:12486 182.98770:1546 225.02574:668 242.17632:790
14	Dodecylbenzenesulfonic acid	490	1.546	1.920	3.061	325.18210	15841	414062	98.326	159.73450	15.898	0.804	1.000	0.573		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	325.18430	C18H30O3S	null	KWXICGTUELOLSQ-UHFFFAOYSA-N		430	False	True	True	0.00	0.98	0.928	0.928	0.944	6.00	0.75	1.856	159.73450	325.18210:18754 326.18515:2628 327.17908:1170	79.95596:912 119.04895:1416 170.00423:626 183.01294:27240 184.01730:3844 185.00980:1032 197.02806:1624 225.05858:638 325.18298:34090 326.18631:7746 327.18216:1926
15	Unknown	490	1.096	1.920	2.274	326.18515	2822	67824	1.000	2821.75000	5.740	0.814	0.996	0.875		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	2821.75000	326.18515:2628 327.17908:1170	null
16	Unknown	490	1.175	1.920	2.400	374.24304	2589	56374	1.000	2589.37500	7.497	0.751	0.999	0.609		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	2589.37500	374.24304:3168 375.24683:446	313.21564:2450 357.01138:616 374.24219:3254 375.24841:672
17	low score: Triptophenolide	497	1.508	1.948	2.923	311.16669	15764	410521	117.715	133.91250	15.358	0.699	1.000	0.620		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	311.16525	C20H24O3	Oxosteroids	KPXIBWGPZSPABK-FXAWDEMLSA-N	O=C1OCC2=C1CCC3(C4=CC=C(C(O)=C4CCC23)C(C)C)C	530	False	True	False	0.00	0.99	0.636	0.681	0.938	2.00	1.00	1.633	133.91250	311.16669:18196 312.16980:4412 313.16602:1196	74.98897:2014 79.95540:802 91.02014:3720 96.95902:666 119.04903:1558 183.01251:22520 184.01776:2922 185.00980:1058 197.02802:1288 309.18350:1070 311.16666:25910 311.29349:700 312.16925:4610 313.16406:1734 313.21518:4082 314.21790:738
18	Unknown	497	1.218	1.948	2.751	312.16980	3510	85334	1.000	3509.75000	7.508	0.773	1.000	0.761		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	3509.75000	312.16980:4412 313.16602:1196	null
19	low score: Nonanoic acid	509	1.617	1.997	2.214	157.12387	1997	45987	117.829	11.53575	4.540	0.868	0.973	0.731		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	157.12340	C9H18O2	null	FBUKVWPVBMHYJY-UHFFFAOYSA-N		530	False	True	False	0.00	1.00	0.000	0.000	0.000	0.00	0.00	0.499	11.53575	157.12387:2226	76.96745:660
20	C10-LAS (TENTATIVE)	521	1.421	2.046	2.661	297.15060	6048	139653	57.636	104.93240	9.208	0.904	1.000	0.966		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	297.15298	C16H26O3S	NA	NANHIUZYPFDGJS-UHFFFAOYNA-N	CCCCCCC(CCC)C1=CC=C(C=C1)S(O)(=O)=O	430	False	True	True	0.00	0.97	0.876	0.852	0.866	3.00	0.75	1.764	104.93240	297.15060:6688 298.15237:1040 299.14343:392	183.01233:9104 184.01793:1126 297.15067:9322 298.15277:2308
21	Unknown	521	1.236	2.046	2.880	298.15237	1059	23094	1.000	1059.37500	3.760	0.972	1.000	0.629		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	1059.37500	298.15237:1040 299.14343:392	null
