Peak ID	Name	Scan	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Estimated noise	S/N	Sharpness	Gaussian similarity	Ideal slope	Symmetry	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	m/z similarity	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N	MS1 isotopes	MSMS spectrum
0	low score: Saluamine	337	1.210	1.270	1.873	248.97151	31656	1076216	179.626	49.80899	2.353	0.631	0.985	0.133		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	248.97420	C7H7ClN2O4S	null	QQLJBZFXGDHSRU-UHFFFAOYSA-N		530	False	True	False	0.00	0.96	0.902	0.918	0.879	1.00	0.50	1.769	49.80899	248.97151:32776 249.97394:912	248.97217:18606 249.97182:800
1	low score: Gitoxigenin Diacetate	385	0.732	1.446	2.585	473.28012	9352	161562	1.000	9351.50000	12.556	0.570	1.000	0.250		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	473.28860	C27H38O7	null	FYZCUGVROGLOCP-ICIBFRGGSA-N	O=C1OCC(=C1)C2C(OC(=O)C)CC3(OC(=O)C)C4CCC5CC(O)CCC5(C)C4CCC23C	530	False	True	False	0.00	0.70	0.000	0.000	0.000	0.00	0.00	0.349	9351.50000	473.28012:10096 474.28409:2870 475.28595:600	205.15909:862 473.28055:26574 474.28369:7622 475.28613:1396
2	Unknown	392	0.770	1.473	2.483	474.28427	2777	49985	1.000	2776.75000	6.504	0.667	1.000	0.310		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	2776.75000	474.28427:3956 475.28955:478	null
3	low score: (1R,2E,7R,10E,12S,13S,15R)-12,15-dihydroxy-7-methyl-8-oxabicyclo[11.3.0]hexadeca-2,10-dien-9-one	416	0.846	1.570	2.126	279.16125	2223	42608	1.000	2223.12500	8.027	0.716	0.995	0.405		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	279.16019	C16H24O4	Macrolides and analogues	KQNZDYYTLMIZCT-SWGFJCPHSA-N	O=C1OC(C)CCCC=CC2CC(O)CC2C(O)C=C1	530	False	True	False	0.00	0.99	0.425	0.811	0.573	3.00	0.16	1.333	2223.12500	279.16125:3684 280.16479:338	79.95651:1296 96.95870:6418 279.16257:3298 280.96127:1996 281.24722:758
4	low score: Embelin	416	1.181	1.570	2.177	293.17856	4244	80577	1.000	4244.12500	11.141	0.724	0.998	0.470		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	293.17581	C17H26O4	null	IRSFLDGTOHBADP-UHFFFAOYSA-N		530	False	True	False	0.00	0.96	0.569	0.711	0.929	2.00	0.50	1.514	4244.12500	293.17856:6600 294.18176:978 295.17511:518	79.95609:1624 95.95096:614 96.95907:12484 293.17816:7260 294.17941:988 295.15720:1330
5	albocycline	416	0.846	1.570	2.534	307.19330	2254	40825	1.000	2253.87500	8.012	0.827	1.000	0.608		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	307.19147	C18H28O4	Macrolides and analogues	BYWWNDLILWPPJP-REXWONOSSA-N	O=C1OC(C)C(C)CCC=C(C)C(OC)C=CC(O)(C=C1)C	430	False	True	True	0.00	0.98	0.684	0.846	0.822	5.00	0.28	1.577	2253.87500	307.19330:3282 308.19940:530	79.95641:2116 95.95054:1212 96.95880:10880 183.01334:1770 307.19412:4962 308.19846:612 309.17249:3022 310.17578:652 311.16748:2764
6	no MS2: C12-AE1S (TENTATIVE)	416	1.336	1.570	2.024	309.17456	1615	27501	57.636	28.02506	7.002	0.803	0.994	0.566		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	309.17413	C14H30O5S	Sulfuric acid monoesters	QTDIEDOANJISNP-UHFFFAOYSA-N	CCCCCCCCCCCCOCCOS(O)(=O)=O	530	False	True	False	0.00	1.00	0.000	0.000	0.000	-1.00	-1.00	0.333	28.02506	309.17456:2202 310.17648:406 311.16803:8758	null
7	no MS2: Hymeglusin	416	0.943	1.570	2.432	323.18872	1062	18475	1.000	1062.25000	5.889	0.756	1.000	0.566		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	323.18640	C18H28O5	null	ODCZJZWSXPVLAW-KXCGKLMDSA-N		530	False	True	False	0.00	0.97	0.000	0.000	0.000	-1.00	-1.00	0.320	1062.25000	323.18872:1636 324.19257:416 325.18356:16920	null
8	low score: (2E,4E)-12-Hydroxy-13-(hydroxymethyl)-14-methoxy-3,5,7-trimethyl-14-oxotetradeca-2,4-dienoic acid	416	1.051	1.570	2.024	337.20566	1282	22109	1.000	1281.87500	6.181	0.822	1.000	0.566		[M-H-H2O]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	337.20200	C19H32O6	null	WKPLWDFQTVJLIX-WFYKWJGLSA-N		530	False	True	False	0.00	0.94	0.431	0.532	0.861	1.00	0.20	1.269	1281.87500	337.20566:1548 338.20801:356 339.19879:11016	96.95905:2120 183.01352:2090 337.20499:2100 339.19958:2670
9	low score: N-Cyclohexyl-N'-(3,5-dimethyl-1H-pyrazol-4-yl)thiourea	428	0.960	1.617	2.483	251.13205	1410	27885	1.000	1409.87500	6.748	0.783	1.000	0.482		[M-H]-	0	Annotation method: Negative_MSMS_ver15&NIST20_20211222_1	-1.000	251.13361	C12H20N4S	null	ZFDRVICUSQZDJK-UHFFFAOYSA-N		530	False	True	False	0.00	0.99	0.256	0.298	0.864	1.00	0.33	1.114	1409.87500	251.13205:1778 252.13571:344	79.95604:1330 96.95896:5612 248.97153:11670 249.97371:632 251.13077:1658
