Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,100-1_P1-C-1_01_13558,100-10_P1-C-1_01_13567,100-11_P1-C-1_01_13568,100-12_P1-C-1_01_13569,100-13_P1-C-1_01_13570,100-14_P1-C-1_01_13571,100-15_P1-C-1_01_13572,100-16_P1-C-1_01_13573,100-17_P1-C-1_01_13574,100-18_P1-C-1_01_13575,100-19_P1-C-1_01_13576,100-2_P1-C-1_01_13559,100-20_P1-C-1_01_13577,100-21_P1-C-1_01_13578,100-22_P1-C-1_01_13579,100-23_P1-C-1_01_13580,100-24_P1-C-1_01_13581,100-25_P1-C-1_01_13582,100-3_P1-C-1_01_13560,100-4_P1-C-1_01_13561,100-5_P1-C-1_01_13562,100-6_P1-C-1_01_13563,100-7_P1-C-1_01_13564,100-8_P1-C-1_01_13565,100-9_P1-C-1_01_13566
11,9.38,60.99236,Unknown,[M-H]-,null,0.12,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,11,0,0,null,null,null,null,null,null,null,7.72,100-1_P1-C-1_01_13558,60.99236:1626 61.99703:0 63.00169:0,null,1360,1225,1176,1229,1160,1314,1302,1361,1156,1222,1174,1078,1189,1120,1111,1023,1258,1289,1140,1201,1154,1146,1099,1166,1088
12,8.249,61.0172,Unknown,[M-H]-,null,0.04,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,12,0,0,null,null,null,null,null,null,null,6.01,100-20_P1-C-1_01_13577,61.01720:5926 62.02187:0 63.02654:0,null,5246,5277,4486,5075,4863,4941,5203,5837,5286,5490,5308,5030,5613,5249,5348,5026,5189,5247,5277,5052,5200,5586,5393,5618,5253
13,5.598,61.9873,Unknown,[M-H]-,null,0.08,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,13,0,0,null,null,null,null,null,null,null,12.45,100-24_P1-C-1_01_13581,61.98730:2898 62.99197:0 63.99664:0,null,1250,1004,1324,1294,908,1544,1161,1205,1299,1140,1121,1247,1133,1386,1227,967,1652,1483,1266,1323,1258,1174,950,974,1187
14,8.05,61.9875,Unknown,[M-H]-,null,1,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,14,0,0,null,null,null,null,null,null,null,436.14,100-19_P1-C-1_01_13576,61.98750:54328 62.99217:296 63.99683:604,null,40867,41433,41668,40413,44682,43352,43242,43014,41316,41756,45544,43192,42238,44627,43418,43604,41805,41776,43492,41108,43206,40528,44739,42393,42310
15,8.406,62.98977,Unknown,[M-H]-,null,0.44,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,15,0,0,null,null,null,null,null,null,null,1248.94,100-11_P1-C-1_01_13568,62.98977:3144 63.99444:0 64.99910:0,null,1077,1093,1453,925,1046,1177,1057,1187,1070,868,1359,1066,1331,1163,969,942,1115,1308,1171,1063,1027,1104,1286,1154,1235
16,6.649,62.98997,Unknown,[M-H]-,null,0.04,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,16,0,0,null,null,null,null,null,null,null,1026,100-6_P1-C-1_01_13563,62.98997:1846 63.99464:0 64.99931:0,null,601,871,937,488,782,730,870,748,741,677,913,683,907,783,697,960,659,883,790,782,858,1026,980,770,700
17,7.894,62.99001,Unknown,[M-H]-,null,1,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,17,0,0,null,null,null,null,null,null,null,1536.1,100-17_P1-C-1_01_13574,62.99001:3762 63.99468:0 64.99934:0,null,1604,1454,1421,1462,1470,1323,1249,1421,1804,1739,1636,1470,1645,1377,1564,1591,1602,1641,1363,1635,1630,1376,1792,1590,1670
18,5.418,62.99004,Unknown,[M-H]-,null,1,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,18,0,0,null,null,null,null,null,null,null,3229.59,100-4_P1-C-1_01_13561,62.99004:5096 63.99471:0 64.99938:0,null,2700,3063,3175,3342,3150,3395,3504,3240,2815,3222,3190,3157,2897,3182,3456,3632,3248,3394,3359,3663,3147,3110,3116,3620,3307
19,5.002,63.96064,Unknown,[M-H]-,null,0.64,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,19,0,0,null,null,null,null,null,null,null,1156.59,100-20_P1-C-1_01_13577,63.96064:1454 64.96531:1196 65.96998:0,null,1310,1183,1064,1219,1037,1015,1172,1152,1081,1072,960,1183,1340,874,1340,1196,1112,1132,1233,1124,1100,1053,1238,1008,1198
20,7.002,64.95139,Unknown,[M-H]-,null,1,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,20,0,0,null,null,null,null,null,null,null,2520.06,100-11_P1-C-1_01_13568,64.95139:5500 65.95606:0 66.96073:0,null,2529,2945,3130,2542,2382,2610,2220,2886,2387,2671,2433,2728,2574,2404,2378,2318,2617,2477,2423,2410,2304,2280,2571,2324,2461
